#  Epoch        LineName   LineLambda  EqW        Flux            blueX  blueY           RedX     RedY
  2014.960     KI-1.51     1.51720  0.00010129  3.0225E-18      1.5157  3.0086E-14      1.5186  2.9593E-14
  2012.000     KI-1.51     1.51720  9.0849E-05  2.4433E-17      1.5155  2.7021E-13      1.5181  2.6768E-13
  2006.000     KI-1.51     1.51720  0.00010035  4.6550E-18      1.5162  4.6811E-14      1.5187  4.5967E-14
#       yes
  2008.000   Mg-I-1.58     1.57600  0.00033576  1.4068E-17      1.5740  4.2128E-14      1.5790  4.1671E-14
  2014.920   Mg-I-1.58     1.57600  0.00030873  9.7276E-18      1.5739  3.1611E-14      1.5788  3.1406E-14
  2014.960   Mg-I-1.58     1.57600  0.00028158  8.6339E-18      1.5740  3.0867E-14      1.5788  3.0458E-14
  2012.000   Mg-I-1.58     1.57600  0.00029852  8.2842E-17      1.5737  2.7800E-13      1.5786  2.7701E-13
  2006.000   Mg-I-1.58     1.57600  0.00029509  1.3590E-17      1.5743  4.5868E-14      1.5792  4.6241E-14
#       yes
  2008.000   Si-I-1.59     1.59000  0.00023592  9.8828E-18      1.5880  4.2201E-14      1.5924  4.1580E-14
  2014.920   Si-I-1.59     1.59000  0.00019532  6.1931E-18      1.5878  3.1953E-14      1.5922  3.1460E-14
  2014.960   Si-I-1.59     1.59000  0.00020077  6.2523E-18      1.5878  3.1484E-14      1.5922  3.0799E-14
  2012.000   Si-I-1.59     1.59000  0.00021705  6.0477E-17      1.5875  2.8142E-13      1.5919  2.7583E-13
  2006.000   Si-I-1.59     1.59000  0.00024798  1.1654E-17      1.5881  4.7251E-14      1.5931  4.6740E-14
#       yes
  2008.000     CO-1.62     1.61975  0.00025280  1.0587E-17      1.6178  4.2590E-14      1.6227  4.1173E-14
  2014.920     CO-1.62     1.61975  0.00022373  7.1742E-18      1.6176  3.2537E-14      1.6226  3.1594E-14
  2014.960     CO-1.62     1.61975  0.00025296  7.9539E-18      1.6176  3.1833E-14      1.6227  3.1055E-14
  2012.000     CO-1.62     1.61975  0.00024869  7.2541E-17      1.6174  2.9581E-13      1.6224  2.8759E-13
  2006.000     CO-1.62     1.61975  0.00024095  1.1246E-17      1.6183  4.7562E-14      1.6230  4.5790E-14
#       yes
