LineLambda EWratio EWmin EWmax Iratio Imin Imax
1.0348000526428223 1.2240363359451294 1.16240394115448 1.2727619409561157 2.826167106628418 2.521336793899536 3.103809356689453
1.0588799715042114 1.111799955368042 1.023740530014038 1.3139166831970215 2.4950780868530273 2.1858081817626953 3.107818603515625
1.1258000135421753 0.9855454564094543 0.7577908039093018 1.1702953577041626 1.9127652645111084 1.525553584098816 2.3546581268310547
1.1644999980926514 0.9509246945381165 0.8967056274414062 1.0115300416946411 1.814252257347107 1.636040210723877 2.0363831520080566
1.1886999607086182 1.1082881689071655 0.9940979480743408 1.1845139265060425 2.061918258666992 1.9293841123580933 2.306196928024292
1.2436800003051758 1.2697592973709106 0.9689429998397827 1.740083932876587 2.260737180709839 1.7908779382705688 3.2409682273864746
1.2525999546051025 1.2546228170394897 0.9945748448371887 1.5780452489852905 2.2036654949188232 1.6691224575042725 2.8832898139953613
1.2904499769210815 1.4263594150543213 1.325457215309143 1.6362156867980957 2.4483344554901123 2.1803019046783447 2.9175362586975098
1.3141000270843506 1.1170196533203125 0.9862672686576843 1.2368212938308716 1.849029541015625 1.6899135112762451 1.985458254814148
1.503999948501587 1.1178491115570068 1.0987621545791626 1.1610912084579468 1.568953275680542 1.5133711099624634 1.6126163005828857
1.517199993133545 1.166833758354187 1.0231019258499146 1.2589006423950195 1.6277039051055908 1.4471464157104492 1.734350323677063
1.5759999752044678 1.144068956375122 1.0809799432754517 1.207176685333252 1.544278621673584 1.4373373985290527 1.6520227193832397
1.590000033378601 1.1677706241607666 1.1296085119247437 1.2078640460968018 1.5554324388504028 1.5168671607971191 1.5957759618759155
1.6197500228881836 1.0749180316925049 0.9778533577919006 1.1437478065490723 1.4184337854385376 1.301284909248352 1.4959545135498047
1.659999966621399 1.1441254615783691 1.008812665939331 1.3133994340896606 1.4957448244094849 1.2990168333053589 1.7362886667251587
1.6740000247955322 1.0007412433624268 0.8440708518028259 1.1577718257904053 1.2988908290863037 1.104339361190796 1.4897115230560303
1.7074999809265137 1.1169099807739258 0.9429834485054016 1.3074871301651 1.4143527746200562 1.2003817558288574 1.6474992036819458
1.7115000486373901 1.1127712726593018 1.009240746498108 1.1730537414550781 1.4089329242706299 1.2813208103179932 1.4851888418197632
1.9819999933242798 1.107225775718689 1.0550700426101685 1.1821238994598389 1.178859829902649 1.1159963607788086 1.2593289613723755
2.2074999809265137 1.3235598802566528 1.2591888904571533 1.4333747625350952 1.3502118587493896 1.2786080837249756 1.4686158895492554
2.2639999389648438 1.5942866802215576 1.2643533945083618 1.9345719814300537 1.61360502243042 1.2631267309188843 1.9780503511428833
2.3037500381469727 1.6006431579589844 1.2942509651184082 1.7946228981018066 1.5731786489486694 1.2683019638061523 1.7651395797729492
2.3454999923706055 0.9053770899772644 0.856666088104248 0.9689314961433411 0.8649894595146179 0.8263046741485596 0.9193295836448669
0.8807299733161926 1.0231027603149414 0.0 0.0 2.352224588394165 0.0 0.0
0.8689000010490417 1.0661497116088867 0.0 0.0 2.4505224227905273 0.0 0.0
0.7699400186538696 1.0221604108810425 0.0 0.0 2.870670795440674 0.0 0.0
0.7326500415802002 1.0493749380111694 0.0 0.0 3.102362871170044 0.0 0.0
0.7016699910163879 1.0939494371414185 0.0 0.0 3.7118587493896484 0.0 0.0
0.670835018157959 1.1774086952209473 0.0 0.0 4.391631603240967 0.0 0.0
0.6498000025749207 1.0756860971450806 0.0 0.0 4.396927833557129 0.0 0.0
0.6122499704360962 1.1245445013046265 0.0 0.0 4.985843658447266 0.0 0.0
0.5660600066184998 1.0319398641586304 0.0 0.0 5.465761184692383 0.0 0.0
0.5268499851226807 1.2083181142807007 0.0 0.0 6.84060525894165 0.0 0.0
