JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456013.60376,14.502,0.192,,V,ROE,,ENSEMBLE,,6983CFP,U,0,1.696,Z,,,,AA TAU,AAVSO,STD,,,,
2456013.60473,14.453,0.128,,V,ROE,,ENSEMBLE,146,6983CFP,U,0,1.707,Z,,14.400,,AA TAU,AAVSO,STD,,,,
2456014.61701,14.741,0.118,,V,ROE,,ENSEMBLE,146,6983CFP,,0,1.907,Z,,14.398,,AA TAU,AAVSO,STD,1,,,
2456014.61794,14.746,0.125,,V,ROE,,ENSEMBLE,146,6983CFP,,0,1.921,Z,,14.452,,AA TAU,AAVSO,STD,1,,,
2456014.61885,14.718,0.139,,V,ROE,,ENSEMBLE,146,6983CFP,,0,1.935,Z,,14.473,,AA TAU,AAVSO,STD,1,,,
2456017.64734,15.217,0.095,,V,ROE,,ENSEMBLE,146,6983CFP,,0,2.801,Z,,14.444,,AA TAU,AAVSO,STD,1,,,
2456018.64416,14.839,0.108,,V,ROE,,ENSEMBLE,146,6983CFP,B,0,2.785,Z,,14.544,,AA TAU,AAVSO,STD,1,,,
2456019.64818,15.014,0.094,,V,ROE,,ENSEMBLE,146,6983CFP,B,0,3.042,Z,,14.598,,AA TAU,AAVSO,STD,1,,,
2456020.63539,15.446,0.073,,V,ROE,,ENSEMBLE,146,6983CFP,BU,0,2.675,Z,,14.370,,AA TAU,AAVSO,STD,,,,
2456029.61630,14.409,0.110,,V,ROE,,ENSEMBLE,146,6983CFP,,0,2.862,Z,,14.489,,AA TAU,AAVSO,STD,,,,
2456029.61706,14.381,0.106,,V,ROE,,ENSEMBLE,146,6983CFP,,0,2.891,Z,,14.422,,AA TAU,AAVSO,STD,,,,
2456029.61784,14.325,0.091,,V,ROE,,ENSEMBLE,146,6983CFP,,0,2.920,Z,,14.525,,AA TAU,AAVSO,STD,,,,
2456029.61859,14.359,0.099,,V,ROE,,ENSEMBLE,146,6983CFP,,0,2.949,Z,,14.444,,AA TAU,AAVSO,STD,,,,
2456029.61934,14.316,0.121,,V,ROE,,ENSEMBLE,146,6983CFP,,0,2.979,Z,,14.471,,AA TAU,AAVSO,STD,,,,
2456147.89854,16.231,0.086,,V,ROE,,ENSEMBLE,146,6983CFP,B,0,1.608,Z,,14.551,,AA TAU,AAVSO,STD,,,,
2456216.97747,15.654,0.090,,V,ROE,,ENSEMBLE,146,6983CFP,,0,1.210,Z,,14.564,,AA TAU,AAVSO,STD,,,,
2456223.89332,15.681,0.050,,V,MZK,,ENSEMBLE,132,9528M,,1,1.187,Z,,13.225,,AA TAU,AAVSO,STD,,,,
2456223.89422,13.151,0.066,,I,MZK,,ENSEMBLE,132,9528M,,1,1.191,Z,,11.772,,AA TAU,AAVSO,STD,,,,
2456223.89591,15.499,0.085,,V,MZK,,ENSEMBLE,132,9528E,,1,1.196,Z,,13.208,,AA TAU,AAVSO,STD,,,,
2456223.89682,13.177,0.091,,I,MZK,,ENSEMBLE,132,9528E,,1,1.201,Z,,11.724,,AA TAU,AAVSO,STD,,,,
2456224.92750,15.698,0.089,,V,ROE,,ENSEMBLE,146,6983CFP,,0,1.119,Z,,14.456,,AA TAU,AAVSO,STD,,,,
2456228.89520,15.309,0.084,,V,ROE,,ENSEMBLE,146,6983CFP,BU,0,1.073,Z,,14.416,,AA TAU,AAVSO,STD,,,,
2456229.88498,15.671,0.092,,V,ROE,,ENSEMBLE,146,6983CFP,B,0,1.061,Z,,14.488,,AA TAU,AAVSO,STD,,,,
2456240.87402,15.123,0.083,,V,ROE,,ENSEMBLE,146,6983CFP,U,0,1.095,Z,,14.658,,AA TAU,AAVSO,STD,,,,
2456241.88542,16.468,0.113,,B,MZK,,ENSEMBLE,125,10196RU,,1,1.375,Z,,13.512,,AA TAU,AAVSO,STD,,,,
2456241.88576,16.375,0.099,,B,MZK,,ENSEMBLE,125,10196RU,,0,1.374,Z,,13.497,,AA TAU,AAVSO,STD,,,,
2456241.88713,14.871,0.082,,V,MZK,,ENSEMBLE,125,10196RU,,1,1.385,Z,,12.473,,AA TAU,AAVSO,STD,,,,
2456241.88748,14.847,0.031,,V,MZK,,ENSEMBLE,125,10196RU,,0,1.385,Z,,12.474,,AA TAU,AAVSO,STD,,,,
2456241.88885,13.579,0.038,,R,MZK,,ENSEMBLE,125,10196RU,,1,1.396,Z,,11.682,,AA TAU,AAVSO,STD,,,,
2456241.88920,13.612,0.029,,R,MZK,,ENSEMBLE,125,10196RU,,0,1.395,Z,,11.683,,AA TAU,AAVSO,STD,,,,
2456241.89057,12.315,0.065,,I,MZK,,ENSEMBLE,125,10196RU,,1,1.407,Z,,10.984,,AA TAU,AAVSO,STD,,,,
2456241.89091,12.358,0.059,,I,MZK,,ENSEMBLE,125,10196RU,,0,1.406,Z,,10.982,,AA TAU,AAVSO,STD,,,,
2456241.89264,16.335,0.095,,B,MZK,,ENSEMBLE,125,10196RU,,0,1.418,Z,,13.514,,AA TAU,AAVSO,STD,,,,
2456241.89435,14.858,0.024,,V,MZK,,ENSEMBLE,125,10196RU,,0,1.429,Z,,12.462,,AA TAU,AAVSO,STD,,,,
2456241.89606,13.617,0.038,,R,MZK,,ENSEMBLE,125,10196RU,,0,1.441,Z,,11.684,,AA TAU,AAVSO,STD,,,,
2456241.89778,12.363,0.049,,I,MZK,,ENSEMBLE,125,10196RU,,0,1.453,Z,,10.976,,AA TAU,AAVSO,STD,,,,
2456241.89951,16.188,0.089,,B,MZK,,ENSEMBLE,125,10196RU,,0,1.465,Z,,13.510,,AA TAU,AAVSO,STD,,,,
2456241.90123,14.862,0.026,,V,MZK,,ENSEMBLE,125,10196RU,,0,1.478,Z,,12.454,,AA TAU,AAVSO,STD,,,,
2456241.90294,13.617,0.031,,R,MZK,,ENSEMBLE,132,9528E,,0,1.491,Z,,12.458,,AA TAU,AAVSO,STD,,,,
2456241.90465,12.370,0.051,,I,MZK,,ENSEMBLE,125,10196RU,,0,1.504,Z,,10.989,,AA TAU,AAVSO,STD,,,,
2456241.92037,14.926,0.078,,V,ROE,,ENSEMBLE,146,6983CFP,U,0,1.258,Z,,14.490,,AA TAU,AAVSO,STD,,,,
2456247.83618,15.150,0.088,,V,ROE,,ENSEMBLE,146,6983CFP,,0,1.062,Z,,14.475,,AA TAU,AAVSO,STD,,,,
2456248.84080,15.031,0.084,,V,ROE,,ENSEMBLE,146,6983CFP,,0,1.073,Z,,14.557,,AA TAU,AAVSO,STD,,,,
2456249.90800,16.405,0.120,,B,MZK,,ENSEMBLE,125,10196RU,,1,1.748,Z,,13.555,,AA TAU,AAVSO,STD,,,,
2456249.90972,14.684,0.105,,V,MZK,,ENSEMBLE,125,10196RU,,1,1.768,Z,,12.456,,AA TAU,AAVSO,STD,,,,
2456249.91007,14.681,0.039,,V,MZK,,ENSEMBLE,125,10196RU,,0,1.767,Z,,12.470,,AA TAU,AAVSO,STD,,,,
2456249.91144,13.372,0.035,,R,MZK,,ENSEMBLE,125,10196RU,,1,1.789,Z,,11.686,,AA TAU,AAVSO,STD,,,,
2456249.91315,12.127,0.046,,I,MZK,,ENSEMBLE,125,10196RU,,1,1.810,Z,,10.984,,AA TAU,AAVSO,STD,,,,
2456251.85104,14.512,0.094,,V,ROE,,ENSEMBLE,146,6983CFP,U,0,1.112,Z,,14.544,,AA TAU,AAVSO,STD,,,,
2456252.82837,14.612,0.128,,V,ROE,,ENSEMBLE,146,6983CFP,U,0,1.071,Z,,14.329,,AA TAU,AAVSO,STD,,,,
2456253.84471,15.247,0.093,,V,ROE,,ENSEMBLE,146,6983CFP,B,0,1.110,Z,,14.496,,AA TAU,AAVSO,STD,,,,
2456256.55203,16.527,0.139,,B,MZK,,ENSEMBLE,125,10196RU,,1,1.557,Z,,13.556,,AA TAU,AAVSO,STD,,,,
2456256.55237,16.502,0.142,,B,MZK,,ENSEMBLE,125,10196RU,,0,1.557,Z,,13.569,,AA TAU,AAVSO,STD,,,,
2456256.55375,15.020,0.122,,V,MZK,,ENSEMBLE,125,10196RU,,1,1.543,Z,,12.465,,AA TAU,AAVSO,STD,,,,
2456256.55410,15.009,0.032,,V,MZK,,ENSEMBLE,125,10196RU,,0,1.542,Z,,12.467,,AA TAU,AAVSO,STD,,,,
2456256.55547,13.675,0.039,,R,MZK,,ENSEMBLE,125,10196RU,,1,1.528,Z,,11.675,,AA TAU,AAVSO,STD,,,,
2456256.55720,12.411,0.042,,I,MZK,,ENSEMBLE,125,10196RU,,1,1.514,Z,,11.002,,AA TAU,AAVSO,STD,,,,
2456256.55755,12.454,0.039,,I,MZK,,ENSEMBLE,125,10196RU,,0,1.514,Z,,10.990,,AA TAU,AAVSO,STD,,,,
2456261.85181,14.921,0.089,,V,ROE,,ENSEMBLE,146,6983CFP,BU,0,1.199,Z,,14.462,,AA TAU,AAVSO,STD,,,,
2456262.82922,15.202,0.109,,V,ROE,,ENSEMBLE,146,6983CFP,BU,0,1.133,Z,,14.482,,AA TAU,AAVSO,STD,,,,
2456267.83737,15.053,0.082,,V,ROE,,ENSEMBLE,146,6983CFP,,0,1.206,Z,,14.496,,AA TAU,AAVSO,STD,,,,
2456274.40251,14.802,0.034,,V,WTHB,,ENSEMBLE,122,10300GOT,SW190 QSI683,1,1.243,Z,,12.228,,AA TAU,AAVSO,STD,,,,
2456274.40462,13.505,0.034,,R,WTHB,,ENSEMBLE,122,10300GOT,SW190 QSI683,1,1.242,Z,,11.532,,AA TAU,AAVSO,STD,,,,
2456280.82941,14.948,0.099,,V,ROE,,ENSEMBLE,146,6983CFP,BU,0,1.340,Z,,14.430,,AA TAU,AAVSO,STD,,,,
2456292.46721,15.972,0.081,,B,MZK,,ENSEMBLE,125,10196RU,,1,1.453,Z,,13.543,,AA TAU,AAVSO,STD,,,,
2456292.46756,15.961,0.082,,B,MZK,,ENSEMBLE,125,10196RU,,0,1.453,Z,,13.528,,AA TAU,AAVSO,STD,,,,
2456292.46894,14.619,0.075,,V,MZK,,ENSEMBLE,125,10196RU,,1,1.441,Z,,12.455,,AA TAU,AAVSO,STD,,,,
2456292.46928,14.619,0.022,,V,MZK,,ENSEMBLE,125,10196RU,,0,1.441,Z,,12.459,,AA TAU,AAVSO,STD,,,,
2456292.47066,13.355,0.031,,R,MZK,,ENSEMBLE,125,10196RU,,1,1.429,Z,,11.669,,AA TAU,AAVSO,STD,,,,
2456292.47238,12.192,0.033,,I,MZK,,ENSEMBLE,125,10196RU,,1,1.418,Z,,10.985,,AA TAU,AAVSO,STD,,,,
2456292.48221,14.533,0.031,,V,MZK,,ENSEMBLE,125,10196RU,,0,1.359,Z,,12.456,,AA TAU,AAVSO,STD,0,,,
2456292.48304,14.592,0.032,,V,MZK,,ENSEMBLE,125,10196RU,,0,1.354,Z,,12.476,,AA TAU,AAVSO,STD,0,,,
2456292.48388,14.592,0.032,,V,MZK,,ENSEMBLE,125,10196RU,,0,1.350,Z,,12.471,,AA TAU,AAVSO,STD,0,,,
