#  Epoch        LineName   LineLambda  EqW        Flux            blueX  blueY           RedX     RedY
  2008.000     Ca-1.03     1.03480  0.00013336  7.3821E-18      1.0335  5.5174E-14      1.0364  5.5532E-14
  2014.920     Ca-1.03     1.03480  0.00010897  2.7691E-18      1.0337  2.5351E-14      1.0363  2.5471E-14
  2014.960     Ca-1.03     1.03480  0.00010478  2.3784E-18      1.0337  2.2708E-14      1.0364  2.2689E-14
  2012.000     Ca-1.03     1.03480  0.00010017  2.0085E-17      1.0334  1.9933E-13      1.0362  2.0168E-13
  2006.000     Ca-1.03     1.03480  0.00012004  8.2958E-18      1.0338  6.8723E-14      1.0368  6.9490E-14
#       yes
  2008.000     Si-1.06     1.05888  5.0496E-05  2.7199E-18      1.0582  5.4018E-14      1.0598  5.3708E-14
  2014.920     Si-1.06     1.05888  4.6720E-05  1.1947E-18      1.0581  2.5543E-14      1.0597  2.5598E-14
  2014.960     Si-1.06     1.05888  4.9325E-05  1.1140E-18      1.0582  2.2598E-14      1.0597  2.2571E-14
  2012.000     Si-1.06     1.05888  3.9026E-05  7.9767E-18      1.0576  2.0377E-13      1.0597  2.0501E-13
  2006.000     Si-1.06     1.05888  3.7961E-05  2.5838E-18      1.0583  6.8049E-14      1.0600  6.8078E-14
#       yes
  2008.000     Al-1.12     1.12580  8.7881E-05  4.5611E-18      1.1251  5.1803E-14      1.1265  5.2000E-14
  2014.920     Al-1.12     1.12580  0.00010147  2.8454E-18      1.1252  2.8093E-14      1.1269  2.7991E-14
  2014.960     Al-1.12     1.12580  0.00011597  2.9898E-18      1.1253  2.6100E-14      1.1272  2.5461E-14
  2012.000     Al-1.12     1.12580  0.00022804  5.1271E-17      1.1246  2.2657E-13      1.1267  2.2310E-13
  2006.000     Al-1.12     1.12580  0.00012690  8.3179E-18      1.1252  6.6096E-14      1.1271  6.5000E-14
#       yes
  2008.000     Fe-1.17     1.16450  8.5021E-05  4.4020E-18      1.1682  5.1622E-14      1.1709  5.1929E-14
  2014.920     Fe-1.17     1.16450  9.2059E-05  2.6370E-18      1.1680  2.8562E-14      1.1708  2.8728E-14
  2014.960     Fe-1.17     1.16450  8.7701E-05  2.2728E-18      1.1681  2.5931E-14      1.1708  2.5899E-14
  2012.000     Fe-1.17     1.16450  7.7850E-05  1.7888E-17      1.1678  2.2945E-13      1.1705  2.3009E-13
  2006.000     Fe-1.17     1.16450  8.2083E-05  5.1377E-18      1.1684  6.2460E-14      1.1710  6.2723E-14
#       yes
  2008.000     Fe-1.19     1.18870  0.00012464  6.3087E-18      1.1878  5.0744E-14      1.1902  5.0488E-14
  2014.920     Fe-1.19     1.18870  0.00011143  3.1678E-18      1.1878  2.8400E-14      1.1903  2.8458E-14
  2014.960     Fe-1.19     1.18870  0.00012538  3.2698E-18      1.1879  2.6078E-14      1.1905  2.6078E-14
  2012.000     Fe-1.19     1.18870  0.00040085  9.2744E-17      1.1872  2.3119E-13      1.1899  2.3155E-13
  2006.000     Fe-1.19     1.18870  0.00012934  7.9162E-18      1.1876  6.1359E-14      1.1907  6.1052E-14
#       yes
  2008.000      K-1.24     1.24368  0.00011138  5.5442E-18      1.2416  4.9669E-14      1.2453  4.9888E-14
  2014.920      K-1.24     1.24368  9.4366E-05  2.7575E-18      1.2414  2.9207E-14      1.2453  2.9236E-14
  2014.960      K-1.24     1.24368  0.00011495  3.0958E-18      1.2404  2.6928E-14      1.2458  2.6934E-14
  2012.000      K-1.24     1.24368  8.2253E-05  1.9835E-17      1.2412  2.4082E-13      1.2451  2.4148E-13
  2006.000      K-1.24     1.24368  8.0646E-05  4.8127E-18      1.2416  5.9669E-14      1.2460  5.9684E-14
#       yes
  2008.000      K-1.25     1.25260  4.2165E-05  2.0617E-18      1.2522  4.8740E-14      1.2531  4.9050E-14
  2014.920      K-1.25     1.25260  4.2395E-05  1.2352E-18      1.2520  2.9090E-14      1.2534  2.9178E-14
  2014.960      K-1.25     1.25260  3.7373E-05  1.0079E-18      1.2519  2.6936E-14      1.2533  2.7000E-14
  2012.000      K-1.25     1.25260  4.9551E-05  1.2050E-17      1.2515  2.4258E-13      1.2530  2.4378E-13
  2006.000      K-1.25     1.25260  5.2769E-05  3.1151E-18      1.2521  5.9032E-14      1.2536  5.9032E-14
#       yes
  2008.000     Mn-1.29     1.29045  5.9339E-05  2.9075E-18      1.2898  4.9014E-14      1.2910  4.8984E-14
  2014.920     Mn-1.29     1.29045  4.2944E-05  1.2720E-18      1.2897  2.9671E-14      1.2908  2.9571E-14
  2014.960     Mn-1.29     1.29045  3.6266E-05  9.9656E-19      1.2899  2.7415E-14      1.2908  2.7543E-14
  2012.000     Mn-1.29     1.29045  3.4836E-05  8.7008E-18      1.2896  2.4980E-13      1.2907  2.4973E-13
