# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float32}
# - {name: flux, unit: erg / (Angstrom cm2 s), datatype: float32}
# meta: !!omap
# - __serialized_columns__:
#     flux:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: erg / (Angstrom cm2 s)}
#       value: !astropy.table.SerializedColumn {name: flux}
#     wavelength:
#       __class__: astropy.units.quantity.Quantity
#       unit: !astropy.units.Unit {unit: micron}
#       value: !astropy.table.SerializedColumn {name: wavelength}
# schema: astropy-2.0
wavelength flux
0.343572 7.73923e-15
0.343678 8.64723e-15
0.343783 9.0178e-15
0.343889 7.99345e-15
0.343994 8.56414e-15
0.344099 7.9813e-15
0.344205 9.65919e-15
0.34431 9.60271e-15
0.344416 8.31459e-15
0.344522 9.21151e-15
0.344627 9.0256e-15
0.344733 9.06978e-15
0.344838 8.19102e-15
0.344944 8.95738e-15
0.345049 9.17136e-15
0.345155 8.90729e-15
0.34526 8.88863e-15
0.345366 8.90567e-15
0.345471 9.19773e-15
0.345577 1.08673e-14
0.345683 9.45545e-15
0.345788 9.69419e-15
0.345894 7.97632e-15
0.345999 1.03266e-14
0.346105 9.55003e-15
0.346211 9.24871e-15
0.346316 9.12281e-15
0.346422 9.56767e-15
0.346527 9.27143e-15
0.346633 9.32443e-15
0.346739 9.54461e-15
0.346844 8.99638e-15
0.34695 9.53769e-15
0.347056 9.55122e-15
0.347161 8.2272e-15
0.347267 8.78673e-15
0.347373 9.1515e-15
0.347478 8.37219e-15
0.347584 8.35307e-15
0.34769 9.14885e-15
0.347795 8.73151e-15
0.347901 8.5612e-15
0.348007 8.46201e-15
0.348112 8.4832e-15
0.348218 7.83149e-15
0.348324 7.90958e-15
0.34843 9.08389e-15
0.348535 9.22596e-15
0.348641 8.42649e-15
0.348747 9.36151e-15
0.348852 8.60297e-15
0.348958 8.55106e-15
0.349064 9.17259e-15
0.34917 9.40408e-15
0.349275 8.39035e-15
0.349381 8.61705e-15
0.349487 8.89901e-15
0.349593 8.8874e-15
0.349699 9.04067e-15
0.349804 8.48064e-15
0.34991 1.01834e-14
0.350016 9.84939e-15
0.350122 8.8138e-15
0.350228 9.52476e-15
0.350333 9.98831e-15
0.350439 9.59666e-15
0.350545 9.39466e-15
0.350651 8.91922e-15
0.350757 9.78615e-15
0.350863 9.98682e-15
0.350968 9.47193e-15
0.351074 8.91112e-15
0.35118 9.79475e-15
0.351286 1.10087e-14
0.351392 9.32216e-15
0.351498 1.01879e-14
0.351604 9.21161e-15
0.35171 9.35918e-15
0.351815 9.94946e-15
0.351921 1.06477e-14
0.352027 9.91726e-15
0.352133 9.66132e-15
0.352239 1.02804e-14
0.352345 9.46553e-15
0.352451 8.91622e-15
0.352557 9.99881e-15
0.352663 1.00477e-14
0.352769 1.01968e-14
0.352875 1.02489e-14
0.352981 9.95094e-15
0.353087 9.66976e-15
0.353192 9.62913e-15
0.353298 8.82758e-15
0.353404 9.22667e-15
0.35351 9.51937e-15
0.353616 9.8211e-15
0.353722 9.69608e-15
0.353828 8.23513e-15
0.353934 8.99961e-15
0.35404 9.50433e-15
0.354146 9.64507e-15
0.354252 9.95183e-15
0.354358 9.63457e-15
0.354464 9.89053e-15
0.35457 9.2534e-15
0.354676 9.31555e-15
0.354782 9.91366e-15
0.354889 9.71205e-15
0.354995 8.25458e-15
0.355101 8.93928e-15
0.355207 9.32325e-15
0.355313 8.76697e-15
0.355419 8.53971e-15
0.355525 9.32472e-15
0.355631 9.09824e-15
0.355737 9.02749e-15
0.355843 9.28921e-15
0.355949 9.26589e-15
0.356055 8.3605e-15
0.356161 9.26217e-15
0.356268 8.94609e-15
0.356374 8.99139e-15
0.35648 9.38499e-15
0.356586 9.02527e-15
0.356692 9.07874e-15
0.356798 9.67529e-15
0.356904 9.04451e-15
