#  Epoch        LineName   LineLambda  EqW        Flux            blueX  blueY           RedX     RedY
  2014.960   Si-I-1.59     1.59000  0.00020590  6.4176E-18      1.5879  3.1502E-14      1.5922  3.0836E-14
  2012.000   Si-I-1.59     1.59000  0.00021524  5.9947E-17      1.5875  2.8164E-13      1.5919  2.7540E-13
  2006.000   Si-I-1.59     1.59000  0.00022681  1.0615E-17      1.5880  4.7251E-14      1.5928  4.6356E-14
#       yep
  2008.000     CO-1.62     1.61975  0.00051368  2.1817E-17      1.6177  4.2648E-14      1.6275  4.2298E-14
  2014.920     CO-1.62     1.61975  0.00044912  1.4584E-17      1.6175  3.2581E-14      1.6275  3.2362E-14
  2014.960     CO-1.62     1.61975  0.00047994  1.5225E-17      1.6175  3.1866E-14      1.6275  3.1581E-14
  2012.000     CO-1.62     1.61975  0.00051958  1.5406E-16      1.6173  2.9592E-13      1.6271  2.9712E-13
  2006.000     CO-1.62     1.61975  0.00052778  2.5083E-17      1.6182  4.7653E-14      1.6280  4.7397E-14
# yesButDiff
  2008.000     CO-1.66     1.66000  0.00024093  1.0121E-17      1.6647  4.2438E-14      1.6708  4.1580E-14
  2014.920     CO-1.66     1.66000  0.00019362  6.3335E-18      1.6645  3.2873E-14      1.6705  3.2549E-14
  2014.960     CO-1.66     1.66000  0.00018344  5.8291E-18      1.6645  3.1829E-14      1.6705  3.1725E-14
  2012.000     CO-1.66     1.66000  0.00022133  6.6574E-17      1.6643  3.0294E-13      1.6702  2.9865E-13
  2006.000     CO-1.66     1.66000  0.00020075  9.3602E-18      1.6649  4.6973E-14      1.6710  4.6278E-14
# yesButDiff
  2008.000   Al-I_1.67     1.67400  0.00071416  3.0262E-17      1.6646  4.2438E-14      1.6785  4.2310E-14
  2014.920   Al-I_1.67     1.67400  0.00061684  2.0314E-17      1.6645  3.2867E-14      1.6781  3.2999E-14
  2014.960   Al-I_1.67     1.67400  0.00064363  2.0623E-17      1.6645  3.1903E-14      1.6783  3.2181E-14
  2012.000   Al-I_1.67     1.67400  0.00064813  1.9518E-16      1.6642  3.0298E-13      1.6779  2.9932E-13
  2006.000   Al-I_1.67     1.67400  0.00068474  3.2128E-17      1.6650  4.6942E-14      1.6784  4.6898E-14
# yesButDiff
  2008.000    dip-1.70     1.70750  0.00046040  1.8343E-17      1.7062  3.9907E-14      1.7156  3.9775E-14
  2014.920    dip-1.70     1.70750  0.00040277  1.2753E-17      1.7062  3.1708E-14      1.7156  3.1616E-14
  2014.960    dip-1.70     1.70750  0.00040971  1.2759E-17      1.7063  3.1123E-14      1.7152  3.1160E-14
  2012.000    dip-1.70     1.70750  0.00038491  1.1340E-16      1.7059  2.9488E-13      1.7152  2.9434E-13
  2006.000    dip-1.70     1.70750  0.00047114  2.0600E-17      1.7066  4.3737E-14      1.7159  4.3711E-14
# yesButDiff
  2008.000     Mg-1.71     1.71150  0.00042332  1.6796E-17      1.7063  3.9885E-14      1.7155  3.9468E-14
  2014.920     Mg-1.71     1.71150  0.00036671  1.1564E-17      1.7062  3.1653E-14      1.7155  3.1415E-14
  2014.960     Mg-1.71     1.71150  0.00036508  1.1309E-17      1.7063  3.0995E-14      1.7151  3.0959E-14
  2012.000     Mg-1.71     1.71150  0.00035737  1.0496E-16      1.7059  2.9452E-13      1.7153  2.9288E-13
  2006.000     Mg-1.71     1.71150  0.00040452  1.7548E-17      1.7066  4.3583E-14      1.7159  4.3174E-14
# yesButDiff
  2008.000     Ca-1.98     1.98200  0.00090689  2.4096E-17      1.9750  2.6657E-14      1.9890  2.6482E-14
  2014.920     Ca-1.98     1.98200  0.00081074  2.0139E-17      1.9746  2.5123E-14      1.9890  2.4557E-14
  2014.960     Ca-1.98     1.98200  0.00076717  1.9134E-17      1.9750  2.4977E-14      1.9896  2.4904E-14
  2012.000     Ca-1.98     1.98200   0.0011957  2.8419E-16      1.9738  2.3563E-13      1.9893  2.3972E-13
  2006.000     Ca-1.98     1.98200   0.0010574  2.7817E-17      1.9757  2.6438E-14      1.9894  2.6175E-14
#       yes
  2008.000     Na-2.21     2.20750  0.00026516  6.0225E-18      2.2040  2.2726E-14      2.2105  2.2699E-14
  2014.920     Na-2.21     2.20750  0.00021058  4.7102E-18      2.2039  2.2340E-14      2.2111  2.2394E-14
  2014.960     Na-2.21     2.20750  0.00018499  4.1008E-18      2.2049  2.2185E-14      2.2103  2.2149E-14
  2012.000     Na-2.21     2.20750  0.00025702  5.4356E-17      2.2043  2.1171E-13      2.2106  2.1127E-13
  2006.000     Na-2.21     2.20750  0.00030437  6.5349E-18      2.2049  2.1489E-14      2.2110  2.1452E-14
#      yesp
  2008.000     Ca-2.26     2.26400  0.00031117  6.8368E-18      2.2601  2.1971E-14      2.2676  2.1971E-14
  2014.920     Ca-2.26     2.26400  0.00021091  4.5773E-18      2.2603  2.1752E-14      2.2676  2.1653E-14
  2014.960     Ca-2.26     2.26400  0.00024611  5.4126E-18      2.2603  2.2031E-14      2.2682  2.1955E-14
  2012.000     Ca-2.26     2.26400  0.00037921  7.7572E-17      2.2597  2.0365E-13      2.2682  2.0548E-13
  2006.000     Ca-2.26     2.26400  0.00035837  7.4290E-18      2.2602  2.0834E-14      2.2683  2.0626E-14
#       yep
  2008.000      CO-2.3     2.30375   0.0011074  2.3215E-17      2.2917  2.1479E-14      2.3216  2.0447E-14
  2014.920      CO-2.3     2.30375  0.00085563  1.8304E-17      2.2920  2.1726E-14      2.3213  2.1059E-14
  2014.960      CO-2.3     2.30375  0.00070779  1.5213E-17      2.2923  2.1708E-14      2.3206  2.1278E-14
  2012.000      CO-2.3     2.30375  0.00095954  1.8678E-16      2.2916  1.9580E-13      2.3210  1.9352E-13
  2006.000      CO-2.3     2.30375   0.0011565  2.2664E-17      2.2924  2.0146E-14      2.3207  1.9050E-14
#       yep
  2008.000     CO-2.34     2.34550  9.6331E-05  1.9167E-18      2.3427  2.0091E-14      2.3475  1.9703E-14
  2014.920     CO-2.34     2.34550  0.00011154  2.3041E-18      2.3424  2.0777E-14      2.3475  2.0536E-14
  2014.960     CO-2.34     2.34550  0.00010333  2.1720E-18      2.3430  2.0863E-14      2.3475  2.1177E-14
  2012.000     CO-2.34     2.34550  0.00013708  2.6437E-17      2.3416  1.9514E-13      2.3461  1.9057E-13
  2006.000     CO-2.34     2.34550  0.00010288  1.8827E-18      2.3433  1.8386E-14      2.3467  1.8212E-14
#       yes
