#  Epoch        LineName   LineLambda  EqW        Flux            blueX  blueY           RedX     RedY
  2008.000     Ca-1.03     1.03480  0.00013224  7.3182E-18      1.0336  5.5200E-14      1.0363  5.5481E-14
  2014.920     Ca-1.03     1.03480  0.00011098  2.8200E-18      1.0337  2.5373E-14      1.0364  2.5449E-14
  2014.960     Ca-1.03     1.03480  0.00010527  2.3899E-18      1.0337  2.2717E-14      1.0363  2.2689E-14
  2012.000     Ca-1.03     1.03480  0.00010019  2.0088E-17      1.0334  1.9927E-13      1.0361  2.0174E-13
  2006.000     Ca-1.03     1.03480  0.00011819  8.1598E-18      1.0338  6.8745E-14      1.0367  6.9337E-14
#       yes
  2008.000     Si-1.06     1.05888  4.5271E-05  2.4227E-18      1.0598  5.3635E-14      1.0617  5.3397E-14
  2014.920     Si-1.06     1.05888  4.1951E-05  1.0796E-18      1.0597  2.5680E-14      1.0618  2.5790E-14
  2014.960     Si-1.06     1.05888  3.4455E-05  7.7955E-19      1.0602  2.2525E-14      1.0616  2.2726E-14
  2012.000     Si-1.06     1.05888  2.8147E-05  5.7751E-18      1.0596  2.0501E-13      1.0616  2.0534E-13
  2006.000     Si-1.06     1.05888  3.7799E-05  2.5736E-18      1.0600  6.8166E-14      1.0619  6.8005E-14
#       yes
  2008.000     Al-1.12     1.12580  9.0259E-05  4.6895E-18      1.1250  5.1890E-14      1.1265  5.2022E-14
  2014.920     Al-1.12     1.12580  8.4901E-05  2.3566E-18      1.1252  2.7903E-14      1.1266  2.7611E-14
  2014.960     Al-1.12     1.12580  8.7780E-05  2.2496E-18      1.1253  2.6024E-14      1.1265  2.5231E-14
  2012.000     Al-1.12     1.12580  0.00022487  5.0477E-17      1.1247  2.2639E-13      1.1266  2.2256E-13
  2006.000     Al-1.12     1.12580  0.00012528  8.2034E-18      1.1253  6.6050E-14      1.1271  6.4908E-14
#       yes
  2008.000     Fe-1.17     1.16450  8.4380E-05  4.3679E-18      1.1682  5.1644E-14      1.1709  5.1885E-14
  2014.920     Fe-1.17     1.16450  9.3162E-05  2.6698E-18      1.1680  2.8587E-14      1.1708  2.8728E-14
  2014.960     Fe-1.17     1.16450  9.4100E-05  2.4463E-18      1.1680  2.6019E-14      1.1706  2.5975E-14
  2012.000     Fe-1.17     1.16450  8.1005E-05  1.8635E-17      1.1678  2.2991E-13      1.1705  2.3018E-13
  2006.000     Fe-1.17     1.16450  8.1260E-05  5.0818E-18      1.1684  6.2285E-14      1.1711  6.2789E-14
#       yes
  2008.000     Fe-1.19     1.18870  0.00013239  6.7205E-18      1.1878  5.0744E-14      1.1906  5.0781E-14
  2014.920     Fe-1.19     1.18870  0.00011259  3.2018E-18      1.1878  2.8400E-14      1.1903  2.8473E-14
  2014.960     Fe-1.19     1.18870  0.00013302  3.4766E-18      1.1879  2.6152E-14      1.1906  2.6122E-14
  2012.000     Fe-1.19     1.18870  0.00040894  9.4914E-17      1.1872  2.3228E-13      1.1901  2.3192E-13
  2006.000     Fe-1.19     1.18870  0.00012941  7.9189E-18      1.1875  6.1315E-14      1.1905  6.1074E-14
#       yes
  2008.000      K-1.24     1.24368  0.00011029  5.4902E-18      1.2415  4.9669E-14      1.2452  4.9888E-14
  2014.920      K-1.24     1.24368  9.6711E-05  2.8278E-18      1.2414  2.9229E-14      1.2453  2.9251E-14
  2014.960      K-1.24     1.24368  6.3382E-05  1.6940E-18      1.2414  2.6672E-14      1.2450  2.6781E-14
  2012.000      K-1.24     1.24368  8.3400E-05  2.0119E-17      1.2413  2.4088E-13      1.2451  2.4159E-13
  2006.000      K-1.24     1.24368  7.9598E-05  4.7490E-18      1.2416  5.9684E-14      1.2457  5.9640E-14
#       yes
  2008.000      K-1.25     1.25260  8.0373E-05  3.9651E-18      1.2513  4.9123E-14      1.2545  4.9543E-14
  2014.920      K-1.25     1.25260  5.8383E-05  1.7054E-18      1.2512  2.9229E-14      1.2541  2.9193E-14
  2014.960      K-1.25     1.25260  5.0932E-05  1.3752E-18      1.2512  2.6899E-14      1.2539  2.7100E-14
  2012.000      K-1.25     1.25260  6.3800E-05  1.5585E-17      1.2513  2.4279E-13      1.2541  2.4575E-13
  2006.000      K-1.25     1.25260  8.6261E-05  5.1504E-18      1.2511  5.9744E-14      1.2547  5.9671E-14
#       yes
  2008.000     Mn-1.29     1.29045  0.00013407  6.5880E-18      1.2877  4.9189E-14      1.2919  4.9087E-14
  2014.920     Mn-1.29     1.29045  0.00010112  3.0216E-18      1.2875  2.9918E-14      1.2917  2.9845E-14
  2014.960     Mn-1.29     1.29045  0.00010115  2.8105E-18      1.2880  2.7826E-14      1.2918  2.7744E-14
  2012.000     Mn-1.29     1.29045  9.3050E-05  2.3635E-17      1.2873  2.5535E-13      1.2915  2.5265E-13
  2006.000     Mn-1.29     1.29045  9.0912E-05  5.3725E-18      1.2878  5.9799E-14      1.2923  5.8393E-14
#       yes
  2008.000     Al-1.31     1.31410  0.00025532  1.2431E-17      1.3117  4.8382E-14      1.3167  4.8995E-14
  2014.920     Al-1.31     1.31410  0.00020963  6.3621E-18      1.3119  3.0210E-14      1.3164  3.0488E-14
  2014.960     Al-1.31     1.31410  0.00025032  7.0998E-18      1.3118  2.8458E-14      1.3165  2.8268E-14
  2012.000     Al-1.31     1.31410  0.00021398  5.5864E-17      1.3115  2.5973E-13      1.3165  2.6242E-13
  2006.000     Al-1.31     1.31410  0.00025310  1.4654E-17      1.3119  5.7797E-14      1.3168  5.7994E-14
#       yes
  2008.000     Mg-1.50     1.50400  0.00054180  2.2776E-17      1.5002  4.1972E-14      1.5068  4.2104E-14
  2014.920     Mg-1.50     1.50400  0.00046663  1.4169E-17      1.5002  3.0310E-14      1.5068  3.0420E-14
  2014.960     Mg-1.50     1.50400  0.00049151  1.4480E-17      1.5002  2.9525E-14      1.5067  2.9397E-14
  2012.000     Mg-1.50     1.50400  0.00038752  1.0137E-16      1.4999  2.6101E-13      1.5069  2.6216E-13
  2006.000     Mg-1.50     1.50400  0.00051639  2.3700E-17      1.5004  4.6082E-14      1.5077  4.5709E-14
#       yes
  2008.000     KI-1.51     1.51720  0.00010837  4.5790E-18      1.5158  4.2536E-14      1.5186  4.1973E-14
  2014.920     KI-1.51     1.51720  8.8076E-05  2.7032E-18      1.5158  3.0944E-14      1.5186  3.0440E-14
  2014.960     KI-1.51     1.51720  0.00010034  2.9952E-18      1.5157  3.0125E-14      1.5185  2.9577E-14
  2012.000     KI-1.51     1.51720  9.1646E-05  2.4655E-17      1.5155  2.7031E-13      1.5182  2.6774E-13
  2006.000     KI-1.51     1.51720  0.00010121  4.6985E-18      1.5161  4.6833E-14      1.5186  4.6011E-14
#       yes
  2008.000   Mg-I-1.58     1.57600  0.00034180  1.4346E-17      1.5739  4.2201E-14      1.5789  4.1744E-14
  2014.920   Mg-I-1.58     1.57600  0.00031351  9.8898E-18      1.5739  3.1684E-14      1.5787  3.1406E-14
  2014.960   Mg-I-1.58     1.57600  0.00028314  8.6839E-18      1.5740  3.0897E-14      1.5788  3.0444E-14
  2012.000   Mg-I-1.58     1.57600  0.00029483  8.1754E-17      1.5736  2.7767E-13      1.5786  2.7690E-13
  2006.000   Mg-I-1.58     1.57600  0.00030301  1.3985E-17      1.5743  4.5868E-14      1.5795  4.6438E-14
#       yes
  2008.000   Si-I-1.59     1.59000  0.00023649  9.9068E-18      1.5880  4.2164E-14      1.5924  4.1616E-14
  2014.920   Si-I-1.59     1.59000  0.00019849  6.2957E-18      1.5878  3.1964E-14      1.5922  3.1471E-14
