  i           filename[i]         MJD  year  mm  dd      i_flux   i_mag    v_mag  snr   mg8807ew  mg_8807_flux  mg8807co  mg_8807_wave  fe8689ew  fe_8689_flux  fe8689co  fe_8689_wave   K7700ew   K_7700_flux  K7700con   K_7700_wave   K7326ew   K_7326_flux  K7326con   K_7326_wave   K7016ew   K_7016_flux  K7016con   K_7016_wave  Li6708ew  Li_6708_flux  Li6708co  Li_6708_wave  bl6500ew  bl_6500_flux  bl6500co  bl_6500_wave  ca6122ew  ca_6122_flux  ca6122co  ca_6122_wave  un5660ew  un_5660_flux  un5660co  un_5660_wave  un5270ew  un_5270_flux  un5270co  un_5270_wave
 49         1050360i.fits  54840.2383  2009   1   9    4.632411  -1.665    12.98  62.0  0.047585    0.00238708  0.050165  880.72998047  0.048617    0.00227577  0.002276  868.90002441  0.055444    0.00215999  0.038958  769.94000244  0.031265    0.00112730  0.036056  732.65002441  0.023958    0.00082183  0.034304  701.66998291  0.056389    0.00166335  0.029498  670.83502197  0.136413    0.00426149  0.031240  649.79998779  0.085333    0.00248103  0.029075  612.25000000  0.089177    0.00236139  0.026480  566.05999756  0.458390    0.01082338  0.023612  526.84997559
 50         1050361i.fits  54840.2500  2009   1   9    5.153604  -1.780    12.87  66.0  0.048987    0.00272262  0.055579  880.72998047  0.048279    0.00250604  0.002506  868.90002441  0.054969    0.00237718  0.043246  769.94000244  0.031334    0.00126415  0.040344  732.65002441  0.025167    0.00096806  0.038465  701.66998291  0.056301    0.00185849  0.033010  670.83502197  0.138122    0.00483075  0.034974  649.79998779  0.086433    0.00282193  0.032649  612.25000000  0.094124    0.00282193  0.029981  566.05999756  0.457061    0.01216238  0.026610  526.84997559
 51         1050362i.fits  54840.2656  2009   1   9    5.057741  -1.760    12.89  65.0  0.048391    0.00264450  0.054649  880.72998047  0.048331    0.00246992  0.002470  868.90002441  0.054560    0.00231301  0.042394  769.94000244  0.030337    0.00119912  0.039526  732.65002441  0.024861    0.00093884  0.037763  701.66998291  0.056730    0.00184349  0.032496  670.83502197  0.136116    0.00468544  0.034423  649.79998779  0.086227    0.00277589  0.032193  612.25000000  0.093155    0.00274202  0.029435  566.05999756  0.463072    0.01230528  0.026573  526.84997559
 52         1050595i.fits  54841.2148  2009   1  10    5.592670  -1.869    12.79  68.0  0.047772    0.00290904  0.060894  880.72998047  0.046631    0.00263633  0.002636  868.90002441  0.054904    0.00257234  0.046852  769.94000244  0.031518    0.00136920  0.043442  732.65002441  0.024864    0.00103954  0.041809  701.66998291  0.056364    0.00202298  0.035892  670.83502197  0.134920    0.00515797  0.038230  649.79998779  0.086829    0.00309736  0.035672  612.25000000  0.097009    0.00320619  0.033050  566.05999756  0.464391    0.01354921  0.029176  526.84997559
 53         1050596i.fits  54841.2305  2009   1  10    5.504557  -1.852    12.81  68.0  0.048609    0.00292837  0.060243  880.72998047  0.048441    0.00271467  0.002715  868.90002441  0.054626    0.00251521  0.046044  769.94000244  0.031557    0.00134982  0.042774  732.65002441  0.024376    0.00099650  0.040880  701.66998291  0.056511    0.00200420  0.035466  670.83502197  0.139797    0.00528584  0.037811  649.79998779  0.085949    0.00302919  0.035244  612.25000000  0.092764    0.00298837  0.032215  566.05999756  0.464391    0.01334099  0.028728  526.84997559
 54         1050597i.fits  54841.2422  2009   1  10    5.708651  -1.891    12.78  69.0  0.048372    0.00302129  0.062459  880.72998047  0.048473    0.00281829  0.002818  868.90002441  0.054568    0.00260056  0.047657  769.94000244  0.030661    0.00136279  0.044446  732.65002441  0.024315    0.00103268  0.042472  701.66998291  0.057468    0.00212387  0.036957  670.83502197  0.139058    0.00546197  0.039278  649.79998779  0.089067    0.00328741  0.036909  612.25000000  0.091688    0.00308251  0.033620  566.05999756  0.465002    0.01400623  0.030121  526.84997559
 55         1050598i.fits  54841.2578  2009   1  10    5.672269  -1.884    12.78  69.0  0.049129    0.00304714  0.062024  880.72998047  0.048418    0.00279712  0.002797  868.90002441  0.054058    0.00255091  0.047188  769.94000244  0.031156    0.00137437  0.044113  732.65002441  0.025084    0.00105740  0.042154  701.66998291  0.056783    0.00208286  0.036681  670.83502197  0.137858    0.00537311  0.038976  649.79998779  0.088591    0.00323654  0.036533  612.25000000  0.091316    0.00304506  0.033346  566.05999756  0.464586    0.01388882  0.029895  526.84997559
 56         1050762i.fits  54842.2266  2009   1  11    2.245391  -0.878    13.83  42.0  0.047021    0.00120659  0.025661  880.72998047  0.046788    0.00110573  0.001106  868.90002441  0.055637    0.00100734  0.018106  769.94000244  0.031303    0.00052481  0.016766  732.65002441  0.023284    0.00036356  0.015614  701.66998291  0.055913    0.00072636  0.012991  670.83502197  0.132660    0.00182230  0.013737  649.79998779  0.088124    0.00111711  0.012677  612.25000000  0.089368    0.00099714  0.011158  566.05999756  0.463728    0.00453446  0.009778  526.84997559
 57         1050763i.fits  54842.2422  2009   1  11    2.475640  -0.984    13.74  44.0  0.047641    0.00134343  0.028199  880.72998047  0.046814    0.00120844  0.001208  868.90002441  0.056342    0.00112945  0.020046  769.94000244  0.031523    0.00058381  0.018520  732.65002441  0.023340    0.00040271  0.017254  701.66998291  0.057135    0.00082586  0.014455  670.83502197  0.136500    0.00207970  0.015236  649.79998779  0.084519    0.00118989  0.014078  612.25000000  0.097324    0.00121776  0.012512  566.05999756  0.464841    0.00506363  0.010893  526.84997559
 58         1050764i.fits  54842.3672  2009   1  11    2.698659  -1.078    13.65  46.0  0.047030    0.00144969  0.030825  880.72998047  0.046877    0.00132871  0.001329  868.90002441  0.057708    0.00126024  0.021838  769.94000244  0.030703    0.00061751  0.020112  732.65002441  0.024324    0.00046233  0.019007  701.66998291  0.058612    0.00092077  0.015709  670.83502197  0.138219    0.00229190  0.016582  649.79998779  0.087297    0.00132964  0.015231  612.25000000  0.087297    0.00117206  0.013426  566.05999756  0.459155    0.00544187  0.011852  526.84997559
 59         1050765i.fits  54842.3828  2009   1  11    3.009931  -1.196    13.55  48.0  0.047890    0.00164903  0.034433  880.72998047  0.046943    0.00148755  0.001488  868.90002441  0.055006    0.00133097  0.024197  769.94000244  0.031094    0.00069370  0.022310  732.65002441  0.024402    0.00051210  0.020986  701.66998291  0.059077    0.00103685  0.017551  670.83502197  0.140761    0.00259854  0.018461  649.79998779  0.088637    0.00150447  0.016973  612.25000000  0.093409    0.00142324  0.015237  566.05999756  0.455072    0.00604234  0.013278  526.84997559
 60         1050766i.fits  54842.3984  2009   1  11    3.340967  -1.310    13.44  51.0  0.048829    0.00186261  0.038146  880.72998047  0.046670    0.00162479  0.001625  868.90002441  0.056914    0.00154986  0.027231  769.94000244  0.030906    0.00077094  0.024945  732.65002441  0.024434    0.00057687  0.023610  701.66998291  0.057346    0.00110955  0.019348  670.83502197  0.136410    0.00279809  0.020512  649.79998779  0.087554    0.00166572  0.019025  612.25000000  0.089264    0.00150060  0.016811  566.05999756  0.462618    0.00680717  0.014714  526.84997559
 61         1050767i.fits  54842.4102  2009   1  11    3.356643  -1.315    13.43  51.0  0.046483    0.00177363  0.038157  880.72998047  0.047529    0.00166405  0.001664  868.90002441  0.058799    0.00160608  0.027315  769.94000244  0.030811    0.00077179  0.025050  732.65002441  0.024820    0.00058673  0.023639  701.66998291  0.057339    0.00112113  0.019553  670.83502197  0.138452    0.00284550  0.020552  649.79998779  0.087724    0.00166498  0.018980  612.25000000  0.092991    0.00156041  0.016780  566.05999756  0.464358    0.00685442  0.014761  526.84997559
 63         1050876i.fits  54843.2148  2009   1  12    0.054253   3.164     0.00  10.0  0.052859    0.00003471  0.000657  880.72998047  0.054543    0.00003462  0.000035  868.90002441  0.054039    0.00002292  0.000424  769.94000244  0.034665    0.00001401  0.000404  732.65002441  0.024582    0.00001032  0.000420  701.66998291  0.046970    0.00001836  0.000391  670.83502197  0.091662    0.00003306  0.000361  649.79998779  0.101483    0.00003043  0.000300  612.25000000  0.048217    0.00001374  0.000285  566.05999756  0.574245    0.00015849  0.000276  526.84997559
 64         1050877i.fits  54843.2305  2009   1  12    0.287286   1.354     0.00  15.0  0.052857    0.00017299  0.003273  880.72998047  0.042361    0.00012241  0.000122  868.90002441  0.056508    0.00012851  0.002274  769.94000244  0.026502    0.00005708  0.002154  732.65002441  0.025269    0.00005287  0.002092  701.66998291  0.052186    0.00008849  0.001696  670.83502197  0.100612    0.00017141  0.001704  649.79998779  0.092114    0.00014838  0.001611  612.25000000  0.080111    0.00010598  0.001323  566.05999756  0.469164    0.00058676  0.001251  526.84997559
 65         1050878i.fits  54843.2461  2009   1  12    1.098062  -0.102    14.47  30.0  0.043821    0.00054065  0.012338  880.72998047  0.048260    0.00055650  0.000557  868.90002441  0.056599    0.00050000  0.008834  769.94000244  0.029565    0.00023863  0.008071  732.65002441  0.024457    0.00018847  0.007706  701.66998291  0.060336    0.00037642  0.006239  670.83502197  0.135246    0.00088481  0.006542  649.79998779  0.088837    0.00053765  0.006052  612.25000000  0.082542    0.00044539  0.005396  566.05999756  0.451363    0.00215789  0.004781  526.84997559
 66         1050879i.fits  54843.2617  2009   1  12    1.179061  -0.179    14.38  32.0  0.044936    0.00060107  0.013376  880.72998047  0.048753    0.00060231  0.000602  868.90002441  0.057205    0.00054629  0.009550  769.94000244  0.028585    0.00025286  0.008846  732.65002441  0.023559    0.00019849  0.008425  701.66998291  0.055528    0.00038159  0.006872  670.83502197  0.137909    0.00100721  0.007303  649.79998779  0.086639    0.00058328  0.006732  612.25000000  0.084900    0.00049721  0.005856  566.05999756  0.445171    0.00233060  0.005235  526.84997559
 67         1050880i.fits  54843.2773  2009   1  12    1.637993  -0.536    14.12  36.0  0.045159    0.00084322  0.018672  880.72998047  0.046809    0.00079726  0.000797  868.90002441  0.057399    0.00074810  0.013033  769.94000244  0.030292    0.00036936  0.012193  732.65002441  0.022583    0.00025666  0.011365  701.66998291  0.057252    0.00053310  0.009311  670.83502197  0.136822    0.00134828  0.009854  649.79998779  0.090447    0.00082724  0.009146  612.25000000  0.090290    0.00072598  0.008041  566.05999756  0.456640    0.00326029  0.007140  526.84997559
 68         1050881i.fits  54843.2891  2009   1  12    2.165579  -0.839    13.86  42.0  0.048423    0.00121203  0.025030  880.72998047  0.047079    0.00106558  0.001066  868.90002441  0.056103    0.00096110  0.017131  769.94000244  0.030030    0.00048339  0.016097  732.65002441  0.022568    0.00034029  0.015079  701.66998291  0.059160    0.00072701  0.012289  670.83502197  0.135827    0.00176166  0.012970  649.79998779  0.090782    0.00108879  0.011994  612.25000000  0.094996    0.00101391  0.010673  566.05999756  0.451943    0.00420935  0.009314  526.84997559
 69         1050882i.fits  54843.3047  2009   1  12    3.269053  -1.286    13.47  51.0  0.046725    0.00175897  0.037645  880.72998047  0.046663    0.00159588  0.001596  868.90002441  0.059340    0.00155349  0.026180  769.94000244  0.031289    0.00076076  0.024314  732.65002441  0.023960    0.00054704  0.022832  701.66998291  0.059129    0.00109423  0.018506  670.83502197  0.134509    0.00265174  0.019714  649.79998779  0.088556    0.00161470  0.018234  612.25000000  0.091069    0.00147133  0.016156  566.05999756  0.456830    0.00644452  0.014107  526.84997559
 70         1051106i.fits  54844.1992  2009   1  13    3.023691  -1.201    13.54  49.0  0.046724    0.00164295  0.035163  880.72998047  0.047611    0.00153652  0.001537  868.90002441  0.057384    0.00139777  0.024358  769.94000244  0.034279    0.00078025  0.022762  732.65002441  0.024739    0.00052371  0.021170  701.66998291  0.057484    0.00097251  0.016918  670.83502197  0.132708    0.00240150  0.018096  649.79998779  0.090030    0.00149614  0.016618  612.25000000  0.088284    0.00126921  0.014376  566.05999756  0.478772    0.00607265  0.012684  526.84997559
 71         1051107i.fits  54844.2109  2009   1  13    2.665702  -1.065    13.67  46.0  0.047046    0.00147251  0.031300  880.72998047  0.047329    0.00133327  0.001333  868.90002441  0.058413    0.00124094  0.021244  769.94000244  0.033493    0.00066636  0.019896  732.65002441  0.025255    0.00047100  0.018650  701.66998291  0.059028    0.00088298  0.014959  670.83502197  0.136001    0.00215981  0.015881  649.79998779  0.090907    0.00133099  0.014641  612.25000000  0.089906    0.00114506  0.012736  566.05999756  0.481729    0.00532843  0.011061  526.84997559
 72         1051108i.fits  54844.2266  2009   1  13    2.110540  -0.811    13.92  41.0  0.046960    0.00116495  0.024807  880.72998047  0.045360    0.00101780  0.001018  868.90002441  0.059725    0.00099383  0.016640  769.94000244  0.034028    0.00053168  0.015625  732.65002441  0.025119    0.00036624  0.014580  701.66998291  0.058817    0.00068797  0.011697  670.83502197  0.142431    0.00176979  0.012426  649.79998779  0.092283    0.00106099  0.011497  612.25000000  0.093239    0.00092371  0.009907  566.05999756  0.480865    0.00406366  0.008451  526.84997559
 73         1051109i.fits  54844.2422  2009   1  13    3.085768  -1.223    13.53  49.0  0.046850    0.00168834  0.036037  880.72998047  0.047115    0.00154412  0.001544  868.90002441  0.059458    0.00146377  0.024619  769.94000244  0.034525    0.00080081  0.023195  732.65002441  0.025561    0.00055568  0.021739  701.66998291  0.058304    0.00101398  0.017391  670.83502197  0.137099    0.00254519  0.018565  649.79998779  0.090797    0.00155072  0.017079  612.25000000  0.087473    0.00130902  0.014965  566.05999756  0.472156    0.00623261  0.013200  526.84997559
 74         1051342i.fits  54845.2266  2009   1  14    4.802951  -1.704    13.06  61.0  0.048145    0.00261940  0.054406  880.72998047  0.046133    0.00229323  0.002293  868.90002441  0.057895    0.00221745  0.038301  769.94000244  0.031833    0.00115461  0.036271  732.65002441  0.024073    0.00082557  0.034294  701.66998291  0.058772    0.00165158  0.028101  670.83502197  0.137092    0.00413377  0.030153  649.79998779  0.090273    0.00252389  0.027958  612.25000000  0.091156    0.00226600  0.024859  566.05999756  0.460502    0.01008203  0.021894  526.84997559
 75         1051343i.fits  54845.2422  2009   1  14    4.866470  -1.718    13.04  62.0  0.048052    0.00265342  0.055220  880.72998047  0.048172    0.00244408  0.002444  868.90002441  0.058578    0.00227804  0.038889  769.94000244  0.032213    0.00119073  0.036964  732.65002441  0.023799    0.00082834  0.034805  701.66998291  0.059025    0.00168409  0.028532  670.83502197  0.140778    0.00433710  0.030808  649.79998779  0.089897    0.00256548  0.028538  612.25000000  0.095003    0.00243498  0.025631  566.05999756  0.468125    0.01057386  0.022588  526.84997559
 76         1051344i.fits  54845.2539  2009   1  14    4.920722  -1.730    13.03  62.0  0.047973    0.00267526  0.055766  880.72998047  0.047274    0.00241985  0.002420  868.90002441  0.057956    0.00228597  0.039443  769.94000244  0.032396    0.00122733  0.037885  732.65002441  0.024105    0.00085183  0.035338  701.66998291  0.059248    0.00171900  0.029014  670.83502197  0.138913    0.00434807  0.031301  649.79998779  0.091064    0.00264356  0.029030  612.25000000  0.091243    0.00237307  0.026008  566.05999756  0.467893    0.01073355  0.022940  526.84997559
 77         1051345i.fits  54845.2695  2009   1  14    4.710086  -1.683    13.09  61.0  0.048039    0.00255191  0.053122  880.72998047  0.046121    0.00224590  0.002246  868.90002441  0.059612    0.00224167  0.037605  769.94000244  0.031471    0.00112018  0.035594  732.65002441  0.023854    0.00079984  0.033531  701.66998291  0.058621    0.00159938  0.027283  670.83502197  0.141659    0.00420869  0.029710  649.79998779  0.090426    0.00248174  0.027445  612.25000000  0.090643    0.00221991  0.024491  566.05999756  0.464896    0.01005990  0.021639  526.84997559
 78         1265739i.fits  55544.3125  2010  12  14    2.454023  -0.975    13.94  43.0  0.039085    0.00111855  0.028619  880.72998047  0.041940    0.00110134  0.001101  868.90002441  0.055605    0.00110451  0.019863  769.94000244  0.027142    0.00049485  0.018232  732.65002441  0.022483    0.00039515  0.017575  701.66998291  0.048619    0.00075776  0.015586  670.83502197  0.128216    0.00216222  0.016864  649.79998779  0.078811    0.00120940  0.015345  612.25000000  0.082782    0.00112390  0.013577  566.05999756  0.393327    0.00458446  0.011656  526.84997559
 79         1265740i.fits  55544.3281  2010  12  14    2.305316  -0.907    14.02  41.0  0.039733    0.00106589  0.026826  880.72998047  0.043325    0.00107448  0.001074  868.90002441  0.055604    0.00104001  0.018704  769.94000244  0.027291    0.00047097  0.017257  732.65002441  0.022027    0.00036017  0.016351  701.66998291  0.049356    0.00071582  0.014503  670.83502197  0.128336    0.00199490  0.015544  649.79998779  0.080029    0.00114081  0.014255  612.25000000  0.086985    0.00110450  0.012698  566.05999756  0.405487    0.00437056  0.010779  526.84997559
 80         1265741i.fits  55544.3438  2010  12  14    2.376083  -0.940    14.00  42.0  0.041312    0.00115201  0.027886  880.72998047  0.041740    0.00106582  0.001066  868.90002441  0.056087    0.00107418  0.019152  769.94000244  0.028986    0.00051640  0.017815  732.65002441  0.022584    0.00038000  0.016826  701.66998291  0.051035    0.00076180  0.014927  670.83502197  0.131427    0.00211929  0.016125  649.79998779  0.080750    0.00119739  0.014828  612.25000000  0.082820    0.00107727  0.013007  566.05999756  0.405490    0.00450432  0.011108  526.84997559
 81         1265742i.fits  55544.3594  2010  12  14    2.583679  -1.031    13.91  44.0  0.039888    0.00120781  0.030280  880.72998047  0.044157    0.00123672  0.001237  868.90002441  0.054471    0.00113715  0.020876  769.94000244  0.027329    0.00052465  0.019197  732.65002441  0.022359    0.00041231  0.018440  701.66998291  0.050047    0.00081055  0.016196  670.83502197  0.129324    0.00226675  0.017528  649.79998779  0.081585    0.00131579  0.016128  612.25000000  0.080653    0.00113536  0.014077  566.05999756  0.392825    0.00473463  0.012053  526.84997559
 82         1265921i.fits  55545.3828  2010  12  15    5.481418  -1.847    13.04  65.0  0.042211    0.00260094  0.061617  880.72998047  0.043607    0.00247530  0.002475  868.90002441  0.055079    0.00248230  0.045068  769.94000244  0.029202    0.00124260  0.042551  732.65002441  0.023045    0.00095344  0.041373  701.66998291  0.054479    0.00200673  0.036835  670.83502197  0.130823    0.00521608  0.039871  649.79998779  0.082200    0.00304613  0.037058  612.25000000  0.079737    0.00265478  0.033294  566.05999756  0.415177    0.01230057  0.029627  526.84997559
 83         1265922i.fits  55545.3984  2010  12  15    4.944060  -1.735    13.16  62.0  0.042479    0.00238254  0.056088  880.72998047  0.044741    0.00229706  0.002297  868.90002441  0.053866    0.00217029  0.040291  769.94000244  0.028571    0.00108533  0.037987  732.65002441  0.022363    0.00082383  0.036840  701.66998291  0.053786    0.00176303  0.032779  670.83502197  0.127549    0.00451817  0.035423  649.79998779  0.080738    0.00266073  0.032955  612.25000000  0.085021    0.00251482  0.029579  566.05999756  0.428551    0.01126015  0.026275  526.84997559
 84         1265923i.fits  55545.4141  2010  12  15    5.234907  -1.797    13.10  63.0  0.042604    0.00253085  0.059404  880.72998047  0.045141    0.00245956  0.002460  868.90002441  0.053276    0.00227217  0.042649  769.94000244  0.029103    0.00117369  0.040329  732.65002441  0.022333    0.00087331  0.039104  701.66998291  0.054591    0.00190443  0.034885  670.83502197  0.131333    0.00496705  0.037820  649.79998779  0.082179    0.00290053  0.035295  612.25000000  0.084190    0.00267687  0.031795  566.05999756  0.424355    0.01193995  0.028137  526.84997559
 85         1265924i.fits  55545.4297  2010  12  15    4.931859  -1.733    13.16  62.0  0.043139    0.00241101  0.055890  880.72998047  0.044893    0.00230771  0.002308  868.90002441  0.054123    0.00217283  0.040146  769.94000244  0.028754    0.00109022  0.037916  732.65002441  0.022630    0.00083215  0.036772  701.66998291  0.053758    0.00175286  0.032607  670.83502197  0.135634    0.00481453  0.035497  649.79998779  0.082892    0.00273092  0.032945  612.25000000  0.089883    0.00268013  0.029818  566.05999756  0.423373    0.01110577  0.026232  526.84997559
 86         1266139i.fits  55546.3828  2010  12  16    4.519274  -1.638    13.23  60.0  0.042517    0.00217024  0.051044  880.72998047  0.044615    0.00209447  0.002094  868.90002441  0.053102    0.00196106  0.036930  769.94000244  0.028438    0.00098739  0.034721  732.65002441  0.023464    0.00079289  0.033792  701.66998291  0.054134    0.00163168  0.030142  670.83502197  0.130873    0.00425716  0.032529  649.79998779  0.083155    0.00254425  0.030596  612.25000000  0.088366    0.00243407  0.027545  566.05999756  0.419440    0.01020704  0.024335  526.84997559
 87         1266140i.fits  55546.3984  2010  12  16    4.740046  -1.689    13.18  61.0  0.042639    0.00228828  0.053667  880.72998047  0.043916    0.00215931  0.002159  868.90002441  0.052608    0.00203639  0.038708  769.94000244  0.029558    0.00107926  0.036513  732.65002441  0.024266    0.00086056  0.035464  701.66998291  0.053825    0.00168491  0.031304  670.83502197  0.132573    0.00453118  0.034179  649.79998779  0.082936    0.00264376  0.031877  612.25000000  0.081422    0.00230850  0.028352  566.05999756  0.415864    0.01048347  0.025209  526.84997559
 88         1266141i.fits  55546.4141  2010  12  16    4.880976  -1.721    13.14  62.0  0.043088    0.00240822  0.055891  880.72998047  0.044433    0.00228350  0.002283  868.90002441  0.054383    0.00218622  0.040201  769.94000244  0.029944    0.00113147  0.037786  732.65002441  0.023625    0.00086525  0.036625  701.66998291  0.054667    0.00179189  0.032778  670.83502197  0.129331    0.00457131  0.035346  649.79998779  0.083310    0.00276260  0.033160  612.25000000  0.086816    0.00259640  0.029907  566.05999756  0.412891    0.01079387  0.026142  526.84997559
 89         1266142i.fits  55546.4297  2010  12  16    4.763508  -1.695    13.17  61.0  0.042667    0.00230787  0.054091  880.72998047  0.044665    0.00221865  0.002219  868.90002441  0.052800    0.00204708  0.038771  769.94000244  0.029472    0.00108020  0.036652  732.65002441  0.024271    0.00086887  0.035799  701.66998291  0.054310    0.00171780  0.031630  670.83502197  0.129538    0.00445167  0.034366  649.79998779  0.082342    0.00265379  0.032229  612.25000000  0.082622    0.00237032  0.028689  566.05999756  0.425923    0.01083243  0.025433  526.84997559
 90         1266386i.fits  55547.3555  2010  12  17    4.495776  -1.632    13.33  57.0  0.044788    0.00233658  0.052170  880.72998047  0.044921    0.00214337  0.002143  868.90002441  0.053214    0.00192891  0.036248  769.94000244  0.029468    0.00099566  0.033787  732.65002441  0.023213    0.00076552  0.032978  701.66998291  0.055010    0.00158257  0.028769  670.83502197  0.130878    0.00412181  0.031494  649.79998779  0.083102    0.00242814  0.029219  612.25000000  0.084159    0.00218204  0.025928  566.05999756  0.423455    0.00960219  0.022676  526.84997559
 91         1266387i.fits  55547.3711  2010  12  17    5.039671  -1.756    13.20  61.0  0.043128    0.00249832  0.057929  880.72998047  0.045457    0.00241553  0.002416  868.90002441  0.051839    0.00209620  0.040437  769.94000244  0.029350    0.00111585  0.038019  732.65002441  0.023757    0.00087906  0.037003  701.66998291  0.055989    0.00182535  0.032602  670.83502197  0.130927    0.00465728  0.035572  649.79998779  0.083197    0.00275578  0.033124  612.25000000  0.085058    0.00251120  0.029523  566.05999756  0.430094    0.01126920  0.026202  526.84997559
 92         1266388i.fits  55547.3867  2010  12  17    5.758759  -1.901    13.05  65.0  0.044728    0.00294242  0.065785  880.72998047  0.045265    0.00271894  0.002719  868.90002441  0.054012    0.00250874  0.046448  769.94000244  0.030683    0.00134282  0.043765  732.65002441  0.023754    0.00101633  0.042786  701.66998291  0.055009    0.00206745  0.037584  670.83502197  0.133509    0.00552941  0.041416  649.79998779  0.084057    0.00324287  0.038580  612.25000000  0.089144    0.00311455  0.034938  566.05999756  0.427959    0.01315164  0.030731  526.84997559
 93         1266389i.fits  55547.4023  2010  12  17    5.785911  -1.906    13.03  65.0  0.044196    0.00292978  0.066291  880.72998047  0.045037    0.00273296  0.002733  868.90002441  0.054687    0.00256873  0.046971  769.94000244  0.029872    0.00131413  0.043992  732.65002441  0.024764    0.00106908  0.043170  701.66998291  0.055746    0.00212316  0.038086  670.83502197  0.130211    0.00541604  0.041594  649.79998779  0.084745    0.00328258  0.038735  612.25000000  0.086868    0.00304310  0.035031  566.05999756  0.431097    0.01333268  0.030927  526.84997559
 94         1266558i.fits  55548.3477  2010  12  18    3.499962  -1.360    13.58  51.0  0.043993    0.00178850  0.040655  880.72998047  0.042166    0.00155738  0.001557  868.90002441  0.056548    0.00157892  0.027922  769.94000244  0.030554    0.00080219  0.026255  732.65002441  0.024352    0.00061822  0.025387  701.66998291  0.055304    0.00119804  0.021663  670.83502197  0.134647    0.00320147  0.023777  649.79998779  0.084902    0.00188192  0.022166  612.25000000  0.084015    0.00161724  0.019249  566.05999756  0.447140    0.00759825  0.016993  526.84997559
 95         1266559i.fits  55548.3633  2010  12  18    4.008337  -1.507    13.44  54.0  0.042082    0.00195293  0.046408  880.72998047  0.044717    0.00190165  0.001902  868.90002441  0.056860    0.00181756  0.031965  769.94000244  0.028889    0.00087224  0.030193  732.65002441  0.025415    0.00074497  0.029312  701.66998291  0.056069    0.00141256  0.025193  670.83502197  0.131684    0.00361389  0.027444  649.79998779  0.085418    0.00217453  0.025457  612.25000000  0.087661    0.00196765  0.022446  566.05999756  0.429748    0.00843201  0.019621  526.84997559
 96         1266560i.fits  55548.3789  2010  12  18    4.334435  -1.592    13.34  57.0  0.042828    0.00215045  0.050211  880.72998047  0.042683    0.00194710  0.001947  868.90002441  0.055438    0.00191985  0.034631  769.94000244  0.028923    0.00095310  0.032953  732.65002441  0.024458    0.00078330  0.032026  701.66998291  0.055594    0.00153829  0.027670  670.83502197  0.132850    0.00399533  0.030074  649.79998779  0.084800    0.00236159  0.027849  612.25000000  0.085328    0.00210767  0.024701  566.05999756  0.425270    0.00916362  0.021548  526.84997559
 97         1266561i.fits  55548.3945  2010  12  18    4.767939  -1.696    13.25  60.0  0.041950    0.00229847  0.054791  880.72998047  0.043724    0.00219940  0.002199  868.90002441  0.056107    0.00214844  0.038292  769.94000244  0.031070    0.00113826  0.036636  732.65002441  0.023211    0.00081508  0.035116  701.66998291  0.055401    0.00168253  0.030370  670.83502197  0.135129    0.00448811  0.033214  649.79998779  0.084722    0.00260794  0.030782  612.25000000  0.081217    0.00220569  0.027158  566.05999756  0.423642    0.01019800  0.024072  526.84997559
 98         1266815i.fits  55549.3164  2010  12  19    1.244408  -0.237    14.01  36.0  0.040102    0.00052723  0.013147  880.72998047  0.038677    0.00047920  0.000479  868.90002441  0.033521    0.00036925  0.011015  769.94000244  0.022613    0.00023882  0.010561  732.65002441  0.022307    0.00024296  0.010892  701.66998291  0.019373    0.00020555  0.010610  670.83502197  0.107401    0.00124409  0.011584  649.79998779  0.044083    0.00050493  0.011454  612.25000000  0.069020    0.00079949  0.011583  566.05999756  0.287235    0.00330731  0.011514  526.84997559
 99         1266816i.fits  55549.3320  2010  12  19    2.758931  -1.102    13.64  47.0  0.038786    0.00123570  0.031859  880.72998047  0.041800    0.00122025  0.001220  868.90002441  0.050917    0.00114913  0.022568  769.94000244  0.029162    0.00062301  0.021363  732.65002441  0.024492    0.00051445  0.021005  701.66998291  0.044018    0.00082786  0.018807  670.83502197  0.122176    0.00250442  0.020498  649.79998779  0.069549    0.00136347  0.019604  612.25000000  0.078795    0.00141101  0.017907  566.05999756  0.376157    0.00619680  0.016474  526.84997559
100         1266817i.fits  55549.3477  2010  12  19    2.657987  -1.061    13.67  46.0  0.041517    0.00127046  0.030601  880.72998047  0.040368    0.00113037  0.001130  868.90002441  0.053194    0.00116052  0.021817  769.94000244  0.028718    0.00059259  0.020635  732.65002441  0.024866    0.00050265  0.020215  701.66998291  0.044882    0.00081410  0.018139  670.83502197  0.121806    0.00242428  0.019903  649.79998779  0.072727    0.00136418  0.018758  612.25000000  0.073190    0.00127416  0.017409  566.05999756  0.374085    0.00603432  0.016131  526.84997559
101         1266818i.fits  55549.3633  2010  12  19    2.752638  -1.099    13.66  47.0  0.040638    0.00128707  0.031672  880.72998047  0.040959    0.00118422  0.001184  868.90002441  0.051985    0.00117340  0.022572  769.94000244  0.028438    0.00060091  0.021131  732.65002441  0.025419    0.00052892  0.020808  701.66998291  0.045270    0.00083800  0.018511  670.83502197  0.119359    0.00240536  0.020152  649.79998779  0.073098    0.00139312  0.019058  612.25000000  0.083933    0.00146996  0.017513  566.05999756  0.384249    0.00615509  0.016019  526.84997559
