  i           filename[i]         MJD  year  mm  dd      i_flux   i_mag    v_mag  snr   mg8807ew  mg_8807_flux  mg8807co  mg_8807_wave  fe8689ew  fe_8689_flux  fe8689co  fe_8689_wave   K7700ew   K_7700_flux  K7700con   K_7700_wave   K7326ew   K_7326_flux  K7326con   K_7326_wave   K7016ew   K_7016_flux  K7016con   K_7016_wave  Li6708ew  Li_6708_flux  Li6708co  Li_6708_wave  bl6500ew  bl_6500_flux  bl6500co  bl_6500_wave  ca6122ew  ca_6122_flux  ca6122co  ca_6122_wave  un5660ew  un_5660_flux  un5660co  un_5660_wave  un5270ew  un_5270_flux  un5270co  un_5270_wave
 10         1047099i.fits  54808.4375  2008  12   8    3.682022  -1.415    13.38  54.0  0.047581    0.00197190  0.041443  880.72998047  0.047822    0.00184525  0.001845  868.90002441  0.056745    0.00169683  0.029903  769.94000244  0.030313    0.00083874  0.027670  732.65002441  0.024610    0.00063475  0.025793  701.66998291  0.056167    0.00121153  0.021570  670.83502197  0.141652    0.00323644  0.022848  649.79998779  0.088863    0.00186410  0.020977  612.25000000  0.093982    0.00175110  0.018632  566.05999756  0.461034    0.00737586  0.015999  526.84997559
 11         1047100i.fits  54808.4492  2008  12   8    3.631907  -1.400    13.39  54.0  0.046133    0.00187665  0.040679  880.72998047  0.047165    0.00178093  0.001781  868.90002441  0.055783    0.00164390  0.029470  769.94000244  0.030190    0.00081815  0.027100  732.65002441  0.024567    0.00062132  0.025291  701.66998291  0.056915    0.00121447  0.021338  670.83502197  0.137431    0.00307840  0.022400  649.79998779  0.086991    0.00178594  0.020530  612.25000000  0.089633    0.00163344  0.018224  566.05999756  0.461593    0.00724538  0.015696  526.84997559
 12         1047277i.fits  54809.4062  2008  12   9    2.186242  -0.849    13.76  43.0  0.047943    0.00115866  0.024168  880.72998047  0.048008    0.00107876  0.001079  868.90002441  0.054903    0.00098379  0.017919  769.94000244  0.031113    0.00051610  0.016588  732.65002441  0.027049    0.00042938  0.015875  701.66998291  0.056818    0.00076258  0.013421  670.83502197  0.133050    0.00187362  0.014082  649.79998779  0.088247    0.00116977  0.013256  612.25000000  0.096834    0.00117099  0.012093  566.05999756  0.457100    0.00477506  0.010446  526.84997559
 13         1047278i.fits  54809.4219  2008  12   9    3.647431  -1.405    13.29  55.0  0.047656    0.00192916  0.040481  880.72998047  0.048279    0.00182934  0.001829  868.90002441  0.056028    0.00167520  0.029900  769.94000244  0.030495    0.00084176  0.027603  732.65002441  0.024888    0.00065186  0.026191  701.66998291  0.057147    0.00127325  0.022280  670.83502197  0.139292    0.00329640  0.023665  649.79998779  0.088876    0.00195869  0.022039  612.25000000  0.090546    0.00181395  0.020034  566.05999756  0.453763    0.00796701  0.017558  526.84997559
 14         1047279i.fits  54809.4375  2008  12   9    2.467063  -0.980    13.66  46.0  0.047429    0.00130956  0.027611  880.72998047  0.046454    0.00117723  0.001177  868.90002441  0.055023    0.00111158  0.020202  769.94000244  0.028635    0.00053500  0.018683  732.65002441  0.025688    0.00046105  0.017948  701.66998291  0.056685    0.00085762  0.015130  670.83502197  0.140662    0.00226669  0.016114  649.79998779  0.088179    0.00131694  0.014935  612.25000000  0.090603    0.00123835  0.013668  566.05999756  0.461939    0.00561653  0.012159  526.84997559
 15         1047280i.fits  54809.4531  2008  12   9    2.383536  -0.943    13.66  45.0  0.048151    0.00127384  0.026455  880.72998047  0.047358    0.00115883  0.001159  868.90002441  0.054594    0.00106940  0.019588  769.94000244  0.031197    0.00056651  0.018159  732.65002441  0.025724    0.00044599  0.017337  701.66998291  0.056309    0.00083414  0.014814  670.83502197  0.137305    0.00215251  0.015677  649.79998779  0.087072    0.00128543  0.014763  612.25000000  0.083383    0.00109498  0.013132  566.05999756  0.458728    0.00541693  0.011809  526.84997559
 16         1047457i.fits  54810.3945  2008  12  10    1.565115  -0.486    14.18  36.0  0.043837    0.00078406  0.017886  880.72998047  0.042778    0.00069645  0.000696  868.90002441  0.057458    0.00071847  0.012504  769.94000244  0.030770    0.00035337  0.011484  732.65002441  0.021400    0.00022847  0.010677  701.66998291  0.056222    0.00050224  0.008933  670.83502197  0.130697    0.00123152  0.009423  649.79998779  0.085436    0.00073519  0.008605  612.25000000  0.081303    0.00060198  0.007404  566.05999756  0.449523    0.00286777  0.006380  526.84997559
 17         1047458i.fits  54810.4102  2008  12  10    1.476218  -0.423    14.27  34.0  0.044314    0.00074822  0.016884  880.72998047  0.045520    0.00071540  0.000715  868.90002441  0.055569    0.00064850  0.011670  769.94000244  0.030358    0.00032478  0.010698  732.65002441  0.022660    0.00022498  0.009929  701.66998291  0.056551    0.00046587  0.008238  670.83502197  0.137398    0.00118544  0.008628  649.79998779  0.087188    0.00070159  0.008047  612.25000000  0.078438    0.00053398  0.006808  566.05999756  0.445293    0.00262925  0.005905  526.84997559
 18         1047459i.fits  54810.4258  2008  12  10    1.209601  -0.207    14.41  32.0  0.043830    0.00060221  0.013739  880.72998047  0.045270    0.00057273  0.000573  868.90002441  0.053972    0.00051756  0.009589  769.94000244  0.030793    0.00027408  0.008901  732.65002441  0.023903    0.00019943  0.008343  701.66998291  0.057298    0.00041783  0.007292  670.83502197  0.139559    0.00102652  0.007355  649.79998779  0.084562    0.00056882  0.006727  612.25000000  0.101513    0.00060832  0.005993  566.05999756  0.444458    0.00223971  0.005039  526.84997559
 19         1047460i.fits  54810.4375  2008  12  10    1.784833  -0.629    14.04  38.0  0.041573    0.00083789  0.020155  880.72998047  0.042529    0.00078422  0.000784  868.90002441  0.054012    0.00077282  0.014308  769.94000244  0.028504    0.00037420  0.013128  732.65002441  0.024887    0.00031186  0.012531  701.66998291  0.054224    0.00055934  0.010315  670.83502197  0.135810    0.00149399  0.011001  649.79998779  0.087514    0.00088723  0.010138  612.25000000  0.082420    0.00072709  0.008822  566.05999756  0.444884    0.00347033  0.007801  526.84997559
